date,venue,toss_winner,winner,team1,team2
2024-02-14,"""Mission Road Ground",Hong Kong,Hong Kong,Hong Kong,China
2024-02-15,"""Mission Road Ground",Hong Kong,Hong Kong,Hong Kong,Japan
2024-02-15,"""Mission Road Ground",Japan,Japan,Japan,China
2024-02-15,"""Terdthai Cricket Ground",Thailand,Thailand,Maldives,Thailand
2024-02-15,"""Terdthai Cricket Ground",Bhutan,Saudi Arabia,Saudi Arabia,Bhutan
2024-02-16,"""Terdthai Cricket Ground",Maldives,Bhutan,Maldives,Bhutan
2024-02-16,"""Terdthai Cricket Ground",Saudi Arabia,Saudi Arabia,Thailand,Saudi Arabia
2024-02-16,"""Mission Road Ground",China,Hong Kong,China,Hong Kong
2024-02-16,"""Mission Road Ground",Japan,Japan,Japan,China
2024-02-17,"""Mission Road Ground",Japan,Hong Kong,Hong Kong,Japan
2024-02-21,"""Sky Stadium",New Zealand,Australia,New Zealand,Australia
2024-02-23,"""Eden Park",New Zealand,Australia,Australia,New Zealand
2024-02-25,"""Eden Park",New Zealand,Australia,Australia,New Zealand
2024-02-27,University of Doha for Science and Technology,Qatar,Hong Kong,Hong Kong,Qatar
2024-02-27,"""Tribhuvan University International Cricket Ground",Namibia,Namibia,Namibia,Nepal
2024-02-28,"""Tribhuvan University International Cricket Ground",Nepal,Netherlands,Netherlands,Nepal
2024-02-29,University of Doha for Science and Technology,Hong Kong,Qatar,Hong Kong,Qatar
2024-02-29,"""Tribhuvan University International Cricket Ground",Netherlands,Netherlands,Netherlands,Namibia
2024-03-01,"""Tribhuvan University International Cricket Ground",Namibia,Nepal,Nepal,Namibia
2024-03-02,"""Tribhuvan University International Cricket Ground",Netherlands,Nepal,Netherlands,Nepal
2024-03-04,Sylhet International Cricket Stadium,Bangladesh,Sri Lanka,Sri Lanka,Bangladesh
2024-03-05,"""Tribhuvan University International Cricket Ground",Nepal,Netherlands,Nepal,Netherlands
2024-03-05,"""Bayuemas Oval",Tanzania,Vanuatu,Vanuatu,Tanzania
2024-03-05,"""Bayuemas Oval",Bahrain,Bahrain,Kuwait,Bahrain
2024-03-06,Sylhet International Cricket Stadium,Bangladesh,Bangladesh,Sri Lanka,Bangladesh
2024-03-06,"""Bayuemas Oval",Malaysia,Malaysia,Malaysia,Vanuatu
2024-03-06,"""Bayuemas Oval",Tanzania,Kuwait,Tanzania,Kuwait
2024-03-06,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Oman,Papua New Guinea,Oman
2024-03-07,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Papua New Guinea,Papua New Guinea,Oman,Papua New Guinea
2024-03-07,"""Bayuemas Oval",Bahrain,Bahrain,Malaysia,Bahrain
2024-03-07,"""Bayuemas Oval",Kuwait,Kuwait,Vanuatu,Kuwait
2024-03-08,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Oman,Papua New Guinea,Oman
2024-03-09,"""Mission Road Ground",Nepal,Hong Kong,Hong Kong,Nepal
2024-03-09,Sylhet International Cricket Stadium,Bangladesh,Sri Lanka,Sri Lanka,Bangladesh
2024-03-09,"""Bayuemas Oval",Tanzania,Bahrain,Bahrain,Tanzania
2024-03-09,"""Bayuemas Oval",Malaysia,Malaysia,Kuwait,Malaysia
2024-03-10,"""Bayuemas Oval",Tanzania,Malaysia,Tanzania,Malaysia
2024-03-10,"""Bayuemas Oval",Bahrain,Bahrain,Bahrain,Vanuatu
2024-03-11,"""Bayuemas Oval",Malaysia,Bahrain,Malaysia,Bahrain
2024-03-11,Dubai International Cricket Stadium,United Arab Emirates,United Arab Emirates,Scotland,United Arab Emirates
2024-03-11,"""Bayuemas Oval",Kuwait,Kuwait,Vanuatu,Kuwait
2024-03-12,"""Mission Road Ground",Papua New Guinea,Nepal,Nepal,Papua New Guinea
2024-03-12,"""Mission Road Ground",Hong Kong,Papua New Guinea,Hong Kong,Papua New Guinea
2024-03-13,"""Mission Road Ground",Nepal,Papua New Guinea,Papua New Guinea,Nepal
2024-03-13,Dubai International Cricket Stadium,United Arab Emirates,Scotland,Scotland,United Arab Emirates
2024-03-14,Dubai International Cricket Stadium,United Arab Emirates,Scotland,Scotland,United Arab Emirates
2024-03-16,"""Bayuemas Oval",Malaysia,Papua New Guinea,Papua New Guinea,Malaysia
2024-03-17,"""Bayuemas Oval",Malaysia,Malaysia,Malaysia,Papua New Guinea
2024-03-17,"""Achimota Senior Secondary School B Field",Uganda,Uganda,Uganda,Kenya
2024-03-17,"""Achimota Senior Secondary School A Field",Zimbabwe,Zimbabwe,Zimbabwe,Namibia
2024-03-17,"""Achimota Senior Secondary School B Field",Tanzania,Tanzania,Tanzania,Nigeria
2024-03-17,"""Achimota Senior Secondary School A Field",South Africa,South Africa,South Africa,Ghana
2024-03-18,"""Achimota Senior Secondary School B Field",Namibia,Nigeria,Namibia,Nigeria
2024-03-18,"""Achimota Senior Secondary School A Field",Tanzania,Zimbabwe,Tanzania,Zimbabwe
2024-03-18,"""Achimota Senior Secondary School B Field",Uganda,Uganda,Uganda,Ghana
2024-03-20,"""Achimota Senior Secondary School A Field",Nigeria,Zimbabwe,Nigeria,Zimbabwe
2024-03-20,"""Achimota Senior Secondary School B Field",Ghana,Kenya,Ghana,Kenya
2024-03-20,"""Achimota Senior Secondary School B Field",Tanzania,Namibia,Tanzania,Namibia
2024-03-21,"""Achimota Senior Secondary School A Field",Zimbabwe,Zimbabwe,Zimbabwe,Kenya
2024-03-21,"""Achimota Senior Secondary School A Field",Namibia,Namibia,Namibia,Uganda
2024-03-23,"""Achimota Senior Secondary School A Field",Uganda,Uganda,Uganda,Kenya
2024-03-23,"""Achimota Senior Secondary School A Field",Namibia,Zimbabwe,Namibia,Zimbabwe
2024-04-01,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Namibia,Namibia,Oman,Namibia
2024-04-02,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Oman,Oman,Namibia
2024-04-04,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Oman,Namibia,Oman
2024-04-05,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Namibia,Namibia,Oman
2024-04-07,Prairie View Cricket Complex,United States of America,United States of America,Canada,United States of America
2024-04-07,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Namibia,Namibia,Namibia,Oman
2024-04-09,Prairie View Cricket Complex,Canada,United States of America,United States of America,Canada
2024-04-12,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bahrain,Oman,Oman,Bahrain
2024-04-12,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),United Arab Emirates,United Arab Emirates,Kuwait,United Arab Emirates
2024-04-12,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Hong Kong,Hong Kong,Hong Kong,Qatar
2024-04-12,Los Reyes Polo Club,Costa Rica,Mexico,Mexico,Costa Rica
2024-04-12,Los Reyes Polo Club,Mexico,Mexico,Mexico,Costa Rica
2024-04-12,Prairie View Cricket Complex,Canada,United States of America,United States of America,Canada
2024-04-12,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Malaysia,Nepal,Malaysia,Nepal
2024-04-13,Prairie View Cricket Complex,Canada,United States of America,Canada,United States of America
2024-04-13,Los Reyes Polo Club,Costa Rica,Costa Rica,Costa Rica,Mexico
2024-04-13,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Cambodia,Kuwait,Cambodia,Kuwait
2024-04-13,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Bahrain,United Arab Emirates,United Arab Emirates,Bahrain
2024-04-13,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,Nepal,Nepal,Qatar
2024-04-13,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Malaysia,Malaysia,Malaysia,Saudi Arabia
2024-04-14,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Saudi Arabia,Saudi Arabia,Saudi Arabia,Hong Kong
2024-04-14,Los Reyes Polo Club,Mexico,Mexico,Mexico,Costa Rica
2024-04-14,La Manga Club Top Ground,Jersey,Spain,Jersey,Spain
2024-04-14,La Manga Club Top Ground,Spain,Spain,Jersey,Spain
2024-04-14,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Cambodia,Oman,Oman,Cambodia
2024-04-15,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,Nepal,Hong Kong,Nepal
2024-04-15,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Qatar,Qatar,Malaysia,Qatar
2024-04-15,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Oman,United Arab Emirates,Oman
2024-04-15,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Bahrain,Kuwait,Kuwait,Bahrain
2024-04-16,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Saudi Arabia,Qatar,Qatar,Saudi Arabia
2024-04-16,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Cambodia,Bahrain,Cambodia,Bahrain
2024-04-17,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Hong Kong,Hong Kong,Malaysia,Hong Kong
2024-04-17,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Nepal,Nepal,Saudi Arabia,Nepal
2024-04-17,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Cambodia,United Arab Emirates,Cambodia,United Arab Emirates
2024-04-17,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Kuwait,Oman,Oman,Kuwait
2024-04-19,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,United Arab Emirates,Nepal,United Arab Emirates
2024-04-19,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Oman,Hong Kong,Oman
2024-04-20,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,Hong Kong,Nepal,Hong Kong
2024-04-20,Rawalpindi Cricket Stadium,Pakistan,Pakistan,New Zealand,Pakistan
2024-04-21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,United Arab Emirates,United Arab Emirates,Oman
2024-04-21,Rawalpindi Cricket Stadium,New Zealand,New Zealand,Pakistan,New Zealand
2024-04-25,"""Gaddafi Stadium",Pakistan,New Zealand,New Zealand,Pakistan
2024-04-27,"""Gaddafi Stadium",New Zealand,Pakistan,Pakistan,New Zealand
2024-05-01,Udayana Cricket Ground,Indonesia,Thailand,Thailand,Indonesia
2024-05-02,Udayana Cricket Ground,Thailand,Indonesia,Thailand,Indonesia
2024-05-03,"""Zahur Ahmed Chowdhury Stadium",Bangladesh,Bangladesh,Zimbabwe,Bangladesh
2024-05-04,Udayana Cricket Ground,Thailand,Indonesia,Indonesia,Thailand
2024-05-05,"""Zahur Ahmed Chowdhury Stadium",Bangladesh,Bangladesh,Zimbabwe,Bangladesh
2024-05-05,Udayana Cricket Ground,Indonesia,Thailand,Thailand,Indonesia
2024-05-06,Udayana Cricket Ground,Indonesia,Thailand,Indonesia,Thailand
2024-05-07,"""Zahur Ahmed Chowdhury Stadium",Zimbabwe,Bangladesh,Bangladesh,Zimbabwe
2024-05-07,Sano International Cricket Ground,Japan,Japan,Japan,Mongolia
2024-05-08,Sano International Cricket Ground,Japan,Japan,Japan,Mongolia
2024-05-09,Dreux Sport Cricket Club,France,France,France,Malta
2024-05-09,Dreux Sport Cricket Club,France,France,France,Malta
2024-05-09,Sano International Cricket Ground,Mongolia,Japan,Mongolia,Japan
2024-05-10,Dreux Sport Cricket Club,Belgium,Belgium,Belgium,Malta
2024-05-10,"""Castle Avenue",Ireland,Ireland,Pakistan,Ireland
2024-05-10,"""Shere Bangla National Stadium",Zimbabwe,Bangladesh,Bangladesh,Zimbabwe
2024-05-11,Sano International Cricket Ground,Japan,Japan,Japan,Mongolia
2024-05-11,Sano International Cricket Ground,Japan,Japan,Japan,Mongolia
2024-05-11,Dreux Sport Cricket Club,Belgium,France,Belgium,France
2024-05-11,Dreux Sport Cricket Club,Malta,Belgium,Malta,Belgium
2024-05-12,Sano International Cricket Ground,Japan,Japan,Japan,Mongolia
2024-05-12,Dreux Sport Cricket Club,France,Belgium,France,Belgium
2024-05-12,"""Castle Avenue",Pakistan,Pakistan,Ireland,Pakistan
2024-05-12,"""Shere Bangla National Stadium",Zimbabwe,Zimbabwe,Bangladesh,Zimbabwe
2024-05-14,"""Castle Avenue",Pakistan,Pakistan,Ireland,Pakistan
2024-05-18,"""Sportpark Westvliet",Scotland,Netherlands,Netherlands,Scotland
2024-05-19,"""Sportpark Westvliet",Netherlands,Ireland,Ireland,Netherlands
2024-05-21,Prairie View Cricket Complex,United States of America,United States of America,Bangladesh,United States of America
2024-05-22,"""Sportpark Westvliet",Netherlands,Scotland,Scotland,Netherlands
2024-05-23,Prairie View Cricket Complex,Bangladesh,United States of America,United States of America,Bangladesh
2024-05-23,"""Sportpark Westvliet",Scotland,Ireland,Scotland,Ireland
2024-05-23,"""Sabina Park",South Africa,West Indies,West Indies,South Africa
2024-05-24,"""Sportpark Westvliet",Netherlands,Ireland,Ireland,Netherlands
2024-05-24,"""Moara Vlasiei Cricket Ground",Bulgaria,Romania,Bulgaria,Romania
2024-05-24,"""Moara Vlasiei Cricket Ground",Gibraltar,Gibraltar,Bulgaria,Gibraltar
2024-05-25,"""Sabina Park",West Indies,West Indies,West Indies,South Africa
2024-05-25,"""Moara Vlasiei Cricket Ground",Romania,Gibraltar,Romania,Gibraltar
2024-05-25,Prairie View Cricket Complex,Bangladesh,Bangladesh,United States of America,Bangladesh
2024-05-25,"""Edgbaston",Pakistan,England,England,Pakistan
2024-05-26,"""Moara Vlasiei Cricket Ground",Bulgaria,Romania,Romania,Bulgaria
2024-05-26,"""Sabina Park",South Africa,West Indies,South Africa,West Indies
2024-05-30,"""Kennington Oval",England,England,Pakistan,England
2024-06-01,"""Grand Prairie Stadium",United States of America,United States of America,Canada,United States of America
2024-06-02,"""Providence Stadium",West Indies,West Indies,Papua New Guinea,West Indies
2024-06-03,"""Nassau County International Cricket Stadium",Sri Lanka,South Africa,Sri Lanka,South Africa
2024-06-04,"""Grand Prairie Stadium",Netherlands,Netherlands,Nepal,Netherlands
2024-06-05,"""Providence Stadium",Uganda,Uganda,Papua New Guinea,Uganda
2024-06-05,"""Nassau County International Cricket Stadium",India,India,Ireland,India
2024-06-05,"""Kensington Oval",Oman,Australia,Australia,Oman
2024-06-06,"""Kensington Oval",Namibia,Scotland,Namibia,Scotland
2024-06-07,"""Grand Prairie Stadium",Bangladesh,Bangladesh,Sri Lanka,Bangladesh
2024-06-07,"""Nassau County International Cricket Stadium",Ireland,Canada,Canada,Ireland
2024-06-08,"""Nassau County International Cricket Stadium",South Africa,South Africa,Netherlands,South Africa
2024-06-08,"""Kensington Oval",England,Australia,Australia,England
2024-06-08,"""Providence Stadium",West Indies,West Indies,West Indies,Uganda
2024-06-09,"""Nassau County International Cricket Stadium",Pakistan,India,India,Pakistan
2024-06-09,"""Sir Vivian Richards Stadium",Oman,Scotland,Oman,Scotland
2024-06-09,Roma Cricket Ground,Luxembourg,Italy,Italy,Luxembourg
2024-06-09,"""Simar Cricket Ground",Hungary,Portugal,Portugal,Hungary
2024-06-09,Roma Cricket Ground,Isle of Man,France,France,Isle of Man
2024-06-09,"""Simar Cricket Ground",Austria,Romania,Austria,Romania
2024-06-10,Roma Cricket Ground,Portugal,Romania,Portugal,Romania
2024-06-10,"""Simar Cricket Ground",Turkey,Isle of Man,Isle of Man,Turkey
2024-06-10,"""Nassau County International Cricket Stadium",South Africa,South Africa,South Africa,Bangladesh
2024-06-10,"""Simar Cricket Ground",Italy,Italy,France,Italy
2024-06-10,Roma Cricket Ground,Israel,Austria,Israel,Austria
2024-06-11,"""Sir Vivian Richards Stadium",Australia,Australia,Namibia,Australia
2024-06-11,"""Nassau County International Cricket Stadium",Pakistan,Pakistan,Canada,Pakistan
2024-06-12,"""Brian Lara Stadium",New Zealand,West Indies,West Indies,New Zealand
2024-06-12,Roma Cricket Ground,Isle of Man,Italy,Isle of Man,Italy
2024-06-12,"""Nassau County International Cricket Stadium",India,India,United States of America,India
2024-06-12,"""Simar Cricket Ground",Israel,Hungary,Israel,Hungary
2024-06-12,"""Simar Cricket Ground",Portugal,Austria,Portugal,Austria
2024-06-12,Roma Cricket Ground,Turkey,Luxembourg,Luxembourg,Turkey
2024-06-13,"""Simar Cricket Ground",France,France,France,Luxembourg
2024-06-13,Roma Cricket Ground,Portugal,Israel,Portugal,Israel
2024-06-13,Roma Cricket Ground,Romania,Romania,Hungary,Romania
2024-06-13,"""Sir Vivian Richards Stadium",England,England,Oman,England
2024-06-13,"""Arnos Vale Ground",Netherlands,Bangladesh,Bangladesh,Netherlands
2024-06-13,"""Simar Cricket Ground",Turkey,Italy,Turkey,Italy
2024-06-14,"""Brian Lara Stadium",New Zealand,New Zealand,Uganda,New Zealand
2024-06-14,"""Arnos Vale Ground",Nepal,South Africa,South Africa,Nepal
2024-06-14,Kerava National Cricket Ground,Finland,Norway,Norway,Finland
2024-06-15,Roma Cricket Ground,Turkey,France,France,Turkey
2024-06-15,"""Simar Cricket Ground",Israel,Romania,Romania,Israel
2024-06-15,"""Simar Cricket Ground",Hungary,Austria,Austria,Hungary
2024-06-15,"""Daren Sammy National Cricket Stadium",Australia,Australia,Scotland,Australia
2024-06-15,"""Sir Vivian Richards Stadium",Namibia,England,England,Namibia
2024-06-15,Roma Cricket Ground,Isle of Man,Isle of Man,Isle of Man,Luxembourg
2024-06-15,Kerava National Cricket Ground,Finland,Norway,Finland,Norway
2024-06-16,Roma Cricket Ground,Portugal,Portugal,Portugal,Isle of Man
2024-06-16,"""Simar Cricket Ground",Austria,Austria,France,Austria
2024-06-16,"""Arnos Vale Ground",Nepal,Bangladesh,Bangladesh,Nepal
2024-06-16,"""Central Broward Regional Park Stadium Turf Ground",Pakistan,Pakistan,Ireland,Pakistan
2024-06-16,Roma Cricket Ground,Luxembourg,Israel,Luxembourg,Israel
2024-06-16,"""Daren Sammy National Cricket Stadium",Netherlands,Sri Lanka,Sri Lanka,Netherlands
2024-06-16,Kerava National Cricket Ground,Finland,Norway,Finland,Norway
2024-06-16,"""Svanholm Park",Jersey,Jersey,Denmark,Jersey
2024-06-16,"""Simar Cricket Ground",Romania,Italy,Italy,Romania
2024-06-16,"""Svanholm Park",Denmark,Jersey,Jersey,Denmark
2024-06-17,Happy Valley Ground,Cyprus,Estonia,Cyprus,Estonia
2024-06-17,Happy Valley Ground,Cyprus,Estonia,Cyprus,Estonia
2024-06-17,"""Brian Lara Stadium",New Zealand,New Zealand,Papua New Guinea,New Zealand
2024-06-18,Happy Valley Ground,Estonia,Cyprus,Cyprus,Estonia
2024-06-18,Happy Valley Ground,Estonia,Estonia,Estonia,Cyprus
2024-06-19,Happy Valley Ground,Cyprus,Cyprus,Estonia,Cyprus
2024-06-19,"""Sir Vivian Richards Stadium",United States of America,South Africa,South Africa,United States of America
2024-06-19,"""Daren Sammy National Cricket Stadium",England,England,West Indies,England
2024-06-19,Happy Valley Ground,Estonia,Estonia,Estonia,Cyprus
2024-06-20,"""Sir Vivian Richards Stadium",Australia,Australia,Bangladesh,Australia
2024-06-21,"""Daren Sammy National Cricket Stadium",England,South Africa,South Africa,England
2024-06-21,"""Kensington Oval",West Indies,West Indies,United States of America,West Indies
2024-06-22,"""King George V Sports Ground",Jersey,Jersey,Guernsey,Jersey
2024-06-22,"""King George V Sports Ground",Jersey,Jersey,Guernsey,Jersey
2024-06-22,"""Sir Vivian Richards Stadium",Bangladesh,India,India,Bangladesh
2024-06-23,"""Kensington Oval",England,England,United States of America,England
2024-06-23,"""Guernsey Rovers Athletic Club Ground",Guernsey,Guernsey,Jersey,Guernsey
2024-06-23,"""Sir Vivian Richards Stadium",South Africa,South Africa,West Indies,South Africa
2024-06-24,"""Daren Sammy National Cricket Stadium",Australia,India,India,Australia
2024-06-27,"""Providence Stadium",England,India,India,England
2024-06-28,"""Sikh Union Club Ground",Malawi,Malawi,Malawi,Rwanda
2024-06-29,"""Sikh Union Club Ground",Rwanda,Kenya,Rwanda,Kenya
2024-06-29,"""Kensington Oval",India,India,India,South Africa
2024-07-01,"""Sikh Union Club Ground",Kenya,Kenya,Malawi,Kenya
2024-07-03,"""Sikh Union Club Ground",Rwanda,Kenya,Rwanda,Kenya
2024-07-05,"""Sikh Union Club Ground",Kenya,Kenya,Kenya,Rwanda
2024-07-06,Harare Sports Club,India,Zimbabwe,Zimbabwe,India
2024-07-07,Bayer Uerdingen Cricket Ground,Belgium,Belgium,Switzerland,Belgium
2024-07-07,Bayer Uerdingen Cricket Ground,Jersey,Jersey,Jersey,Serbia
2024-07-07,Harare Sports Club,India,India,India,Zimbabwe
2024-07-08,Bayer Uerdingen Cricket Ground,Croatia,Croatia,Croatia,Belgium
2024-07-08,Bayer Uerdingen Cricket Ground,Sweden,Norway,Norway,Sweden
2024-07-08,Bayer Uerdingen Cricket Ground,Gibraltar,Germany,Germany,Gibraltar
2024-07-09,Bayer Uerdingen Cricket Ground,Jersey,Jersey,Jersey,Switzerland
2024-07-09,Bayer Uerdingen Cricket Ground,Germany,Germany,Germany,Sweden
2024-07-09,Bayer Uerdingen Cricket Ground,Slovenia,Norway,Slovenia,Norway
2024-07-10,Bayer Uerdingen Cricket Ground,Belgium,Jersey,Jersey,Belgium
2024-07-10,Harare Sports Club,India,India,India,Zimbabwe
2024-07-10,Bayer Uerdingen Cricket Ground,Serbia,Croatia,Croatia,Serbia
2024-07-10,Bayer Uerdingen Cricket Ground,Gibraltar,Slovenia,Gibraltar,Slovenia
2024-07-11,Bayer Uerdingen Cricket Ground,Sweden,Sweden,Gibraltar,Sweden
2024-07-11,Bayer Uerdingen Cricket Ground,Germany,Norway,Norway,Germany
2024-07-11,Bayer Uerdingen Cricket Ground,Switzerland,Switzerland,Switzerland,Serbia
2024-07-12,Bayer Uerdingen Cricket Ground,Belgium,Belgium,Belgium,Serbia
2024-07-12,"""Sikh Union Club Ground",Kenya,Kenya,Kenya,Nigeria
2024-07-13,Bayer Uerdingen Cricket Ground,Switzerland,Switzerland,Croatia,Switzerland
2024-07-13,Bayer Uerdingen Cricket Ground,Sweden,Sweden,Slovenia,Sweden
2024-07-13,Harare Sports Club,India,India,Zimbabwe,India
2024-07-13,"""Sikh Union Club Ground",Nigeria,Kenya,Nigeria,Kenya
2024-07-13,Bayer Uerdingen Cricket Ground,Norway,Norway,Norway,Gibraltar
2024-07-14,Bayer Uerdingen Cricket Ground,Jersey,Jersey,Norway,Jersey
